mined_at,created_at,year,month,day,day_of_week,hour,minute,tweet_id,tweet_id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,hashtags,source,language,screen_name,user_tweet_id,user_tweet_id_str,user_favourites_count,followers_count,friends_count,text
2020-06-21 13:02:46.884312,2020-06-21 00:37:25+00:00,2020,6,21,6,0,37,1274501643044884480,1274501643044884480,,,,[],"<a href=""http://www.socastdigital.com"" rel=""nofollow"">SoCast Digital</a>",en,SeehaferNews,966851822873993218,966851822873993218,110,173,93,"The Kiel Community Picnic Committee has decided that due to concerns over the COVID-19 Pandemic, the Community Picnic had to be canceled. https://t.co/mSANbTDRgq"
2020-06-21 13:02:49.298622,2020-06-21 00:37:25+00:00,2020,6,21,6,0,37,1274501644005277697,1274501644005277697,,,,[],"<a href=""http://www.socastdigital.com"" rel=""nofollow"">SoCast Digital</a>",en,womtam,58450687,58450687,154,416,98,"The Kiel Community Picnic Committee has decided that due to concerns over the COVID-19 Pandemic, the Community Picnic had to be canceled. https://t.co/TCisfGJcGM"
2020-06-21 13:02:45.561162,2020-06-21 00:48:44+00:00,2020,6,21,6,0,48,1274504489744117762,1274504489744117762,,,,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,PalamaJeni,1038501773043015681,1038501773043015681,1088,119,131,"RT @TrishaFisher681: If Covid cancels Newton Picnic, we riot"
2020-06-21 13:02:44.795555,2020-06-21 01:01:56+00:00,2020,6,21,6,1,1,1274507812341760000,1274507812341760000,,,,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,5455km629,3627509358,3627509358,86318,5643,6105,"RT @diannemando: @AngelinaWTSP @HealthyFla @10TampaBay I just took a car ride to Nokomis Beach/North Jetty in SW Florida. Parking lots, bea…"
2020-06-21 13:02:47.145503,2020-06-21 01:27:28+00:00,2020,6,21,6,1,27,1274514237453479936,1274514237453479936,,,,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,Flores88Rico,1632048997,1632048997,11336,461,696,"RT @TrishaFisher681: If Covid cancels Newton Picnic, we riot"
2020-06-21 13:02:46.335633,2020-06-21 01:31:48+00:00,2020,6,21,6,1,31,1274515327284477955,1274515327284477955,,,,"[{'text': 'SanDiego'}, {'text': 'socialdistancing'}, {'text': 'COVID'}]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,aliveinsv,309283967,309283967,1879,13,133,"#SanDiego. 3 moms, 5 kids at park, all masked. Stuff on picnic table, moms sit distanced in lawn chairs while kids ride bikes. Park guy says he's been told to tell them to sit together at picnic table, no lawn chairs. #socialdistancing #COVID."
2020-06-21 13:02:44.534285,2020-06-21 02:14:26+00:00,2020,6,21,6,2,14,1274526059174801409,1274526059174801409,MurielBowser,1.2745158267843092e+18,245571881.0,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,Platonas96,1171823486052052994,1171823486052052994,895,15,117,@MurielBowser @ktumulty @AOC Yes. Both u and AOC are trying to destroy our country. The arena wasn’t half empty. I spoke to ppl there. He draws more w covid than HRC did w jayz n lebron to help. Biden will stick to his picnic table. U guys r shot
2020-06-21 13:02:44.534285,2020-06-21 02:45:40+00:00,2020,6,21,6,2,45,1274533918310649856,1274533918310649856,,,,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",es,g2k88,17769998,17769998,3393,362,926,RT @gilgamezh: En el laburo su suspendió la fiesta del verano por el covid y entonces nos mandaron un kit de picnic a todes. Incluyendo com…
2020-06-21 13:02:44.534285,2020-06-21 02:55:26+00:00,2020,6,21,6,2,55,1274536378110562304,1274536378110562304,,,,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,bmxfrank,14647515,14647515,2171,210,350,"I got to see my mom today for the 1st time since COVID hit and the world shut down. 
It brought peace of mind to see her smile in person as we had a picnic lunch by the water, away from people. 
Today was a good day."
2020-06-21 13:02:46.612894,2020-06-21 05:16:15+00:00,2020,6,21,6,5,16,1274571812374970370,1274571812374970370,,,,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,STEALTH_BEAR,2457330163,2457330163,158710,798,4979,"Today we had a social distancing picnic for Father's Day, my Grandfather's 82nd Birthday &amp; my cousin being pregnant! We were never around each other, 1 person dished all plates aka me! I've already had COVID-19. We even made sure that while we were in the pool we were spaced out!"
